name,external_id,full_name
"Starodubtsev, Mihhail",sr:player:50942,Mihhail Starodubtsev
"Kochimarov, Roman",sr:player:1527031,Roman Kochimarov
"Cherkasov, Alexey",sr:player:139475,Alexey Cherkasov
"Vtorushin, Alexander",sr:player:1112991,Alexander Vtorushin
"Panov, Anton",sr:player:364814,Anton Panov
"Andrejev, Aleksei",sr:player:1138222,Aleksei Andrejev
"Gluhno, Aleksandr",sr:player:57590,Aleksandr Gluhno
"Moissejev, Igor",sr:player:115632,Igor Moissejev
"Panov, Stanislav",sr:player:1527195,Stanislav Panov
"Rogachev, Leonid",sr:player:1527217,Leonid Rogachev
"Sisov, Danil",sr:player:1137155,Danil Sisov
"Semakhin, Aleksandr",sr:player:377316,Aleksandr Semakhin
"Ratnikov, Daniil",sr:player:51091,Daniil Ratnikov
"Redakov, Anatoli",sr:player:1527179,Anatoli Redakov
"Gussev, Dmitri",sr:player:851376,Dmitri Gussev
"Gornev, Andrei",sr:player:99311,Andrei Gornev
"Dervenjov, Sergei",sr:player:851396,Sergei Dervenjov
"Torinava, Iraklii",sr:player:247499,Iraklii Torinava
"Zahharov, Jelissei",sr:player:1132429,Jelissei Zahharov
"Kulik, Mihhail",sr:player:851456,Mihhail Kulik
"Novikov, Kirill",sr:player:110235,Kirill Novikov
"Savin, Aleksandr",sr:player:112324,Aleksandr Mihkailovich Savin
"Jegorov, Anton",sr:player:111682,Anton Jegorov
"Moissejenok, Maksim",sr:player:792275,Maksim Moissejenok
"Kulik, Vassili",sr:player:50976,Vassili Kulik
"Ivanov, Konstantin",sr:player:1266884,Konstantin Ivanov
"Sepelev, Ilja",sr:player:364812,Ilja Sepelev
"Lis, Aleksandr",sr:player:1120745,Aleksandr Lis
"Anohhin, Erik",sr:player:1112989,Erik Anohhin
"Mironov, Daniil",sr:player:851462,Daniil Mironov
"Elgan, Hampus",sr:player:812268,Hampus Elgan
"Emanuelsson, Rasmus",sr:player:785619,Rasmus Erik Emanuelsson
"Suljic, Ali",sr:player:319869,Ali Suljic
"Pehrsson, Oscar",sr:player:143330,Oscar Pehrsson
"Sandberg Magnusson, Gustav",sr:player:68815,Gustav Sandberg Magnusson
"Omondi, Eric Johana",sr:player:1139580,Eric Johana Omondi
"Hansson, Marcus",sr:player:7260,Marcus Hansson
"Jajic, Dusan",sr:player:755800,Dusan Jajic
"Hellqvist, Philip Nikola Bjorn",sr:player:36117,Philip Nikola Bjorn Hellqvist
"Graden, Adam",sr:player:113459,Adam Graden
"Fallenius, Oskar",sr:player:1648772,Lars Erik Oskar Fallenius
"Falkmar, Johan",sr:player:582482,Johan Falkmar
"Lidberg, Isac",sr:player:755802,Isac Alexi Sivert Lidberg
"Gustafsson, Markus",sr:player:36020,Markus Gustafsson
"Sanden, Aron",sr:player:1694883,Aron Sanden
"Graasvoll, Simon",sr:player:1712285,Simon Graasvoll
"Wallenborg, Axel",sr:player:1383941,Axel Sixten Wallenborg
"Nilsson, Alexander",sr:player:1374939,Alexander Nilsson
"Nordstrom, Billy",sr:player:181673,Billy Brandon Nordstrom
"Bjorken, Fritiof",sr:player:289047,Fritiof Bjorken
"Linner, Albin",sr:player:1003317,Albin Linner
"Bonnah, Ahmed",sr:player:1511263,Ahmed Bonnah
"Svenlen, Samuel",sr:player:1566336,Samuel Svenlen
"Paplavskis, Ingmar Krister",sr:player:860526,Ingmar Krister Paplavskis
"Lekstrom, Benny",sr:player:14204,Benny Johan Einar Lekstrom
"Kuusk, Marten",sr:player:254761,Marten Kuusk
"Kreida, Vladislav",sr:player:980615,Vladislav Kreida
"Liivak, Frank",sr:player:187443,Frank Liivak
"Ainsalu, Mihkel",sr:player:254771,Mihkel Ainsalu
"Alliku, Rauno",sr:player:66145,Rauno Alliku
"Miller, Martin",sr:player:328039,Martin Miller
"Vassiljev, Konstantin",sr:player:24845,Konstantin Vassiljev
"Nurmela, Anselmi",sr:player:351804,Anselmi Nurmela
"Lukka, Marco",sr:player:316036,Marco Lukka
"Lilander, Michael",sr:player:344681,Michael Lilander
"Kams, Gert",sr:player:21730,Gert Kams
"Domov, Pavel",sr:player:110639,Pavel Domov
"Tuhkanen, Daniel",sr:player:1238038,Daniel Tuhkanen
"Purg, Henrik",sr:player:254763,Henrik Purg
"Aland, Richard",sr:player:163405,Richard Aland
"Poom, Markus",sr:player:895168,Markus Poom
"Seppik, Markkus",sr:player:1070824,Markkus Seppik
"Jarvelaid, Henri",sr:player:756132,Henri Jarvelaid
"Suvinomm, Ralf-Sander",sr:player:1257834,Ralf-Sander Suvinomm
"Sorga, Erik",sr:player:756124,Erik Sorga
"Mannilaan, Mattias",sr:player:1264222,Mattias Mannilaan
"Riiberg, Herol",sr:player:284409,Herol Riiberg
"Lapa, Kristen",sr:player:992733,Kristen Lapa
"Sinyavskiy, Vlasiy",sr:player:314858,Vlasiy Sinyavskiy
"Hallstensson, Anton",sr:player:1003351,Anton Hallstensson
"Petersson, Adrian",sr:player:1065660,Adrian Petersson
"Koroma, Ishmail",sr:player:242014,Ishmail Koroma
"Taublieb, Zev",sr:player:1125619,Zev Taublieb
"Wahab, Hamse",sr:player:1139506,Hamse Wahab
"Catenacci, Alberto",sr:player:942118,Alberto Catenacci
"Jakobsson, Jens",sr:player:860748,Jens Mikael Jakobsson
"Arnesson, Daniel",sr:player:1336874,Daniel Malmstrom Arnesson
"Gustavsson, Hampus",sr:player:1077438,Hampus Gustavsson
"Karlsson, Christoffer",sr:player:8204,Christoffer Karlsson
"Sandholm, Simon",sr:player:1413111,Simon Sandholm
"Westerblad, Bjorn",sr:player:7728,Bjorn Westerblad
"Abukar, Khalid",sr:player:1413103,Khalid Rage Abukar
"Tornberg, Ludwig",sr:player:1139508,Ludwig Tornberg
"Holster, Fredrik",sr:player:15052,Fredrik Holster
"Winter, Felix",sr:player:1413115,Felix Winter
"Johansson, Andreas",sr:player:150342,Andreas Johansson
"Ohrn, Lucas",sr:player:865538,Lucas Ohrn
"Astor, Victor",sr:player:1413109,Victor Astor
"Fredriksson, Pontus",sr:player:950398,Pontus Kristoffer Fredriksson
"Rambin, Daniel",sr:player:1121565,Daniel Rambin
"Bellander, Emil",sr:player:273245,Emil Alejon Bellander
"Stejdahl, Oskar",sr:player:1413107,Oskar Stejdahl
"Mustafa, Dardan",sr:player:289107,Dardan Mustafa
"Lonn, Simon Werner",sr:player:1264736,Simon Werner Lonn
"Stromberg, August",sr:player:36972,August Stromberg
"Pyzdrowski, Matt",sr:player:149990,Matthew Robert Pyzdrowski
"Carlsson, Tobias",sr:player:1650861,Tobias Carlsson
"Zackrisson, Hampus",sr:player:242321,Hampus Zackrisson
"Modig, Jesper",sr:player:353982,Jesper Modig
"Moller, Sebastian",sr:player:111965,Sebastian Moller
"Ljung, Philip",sr:player:560112,Philip Ljung
"Beqaj, Perparim",sr:player:542036,Perparim Beqaj
"Ejupi, Albert",sr:player:809308,Albert Ejupi
"Seljmani, Astrit",sr:player:966515,Astrit Seljmani
"Book, Robin",sr:player:188263,Robin Book
"Girmai, Nahom",sr:player:581916,Nahom Girmai Netabay
"Asaad, Rebin",sr:player:321633,Rebin Asaad
"Fofana, Adama",sr:player:1420653,Adama Fofana
"Condrup, Edwin",sr:player:1425461,Edwin Condrup
"Lugonjic, Vuk",sr:player:1498787,Vuk Lugonjic
"Lindner, Joakim",sr:player:150378,Joakim Lindner
"Zahui, Thierry",sr:player:198836,Thierry Zahui
"Munther, Liam",sr:player:1413237,Liam Munther
"Zetterberg, Erik",sr:player:862520,Erik Par Zetterberg
"Boman, Andre",sr:player:1430263,Andre Boman
"Danielsson, Hampus",sr:player:1133455,Hampus Danielsson
"Sadiku, Erion",sr:player:1413235,Erion Sadiku
"Bertilsson, Nils",sr:player:1430261,Nils Bertilsson
"Krezic, Daniel",sr:player:552388,Daniel Krezic
"Svensson, Albin",sr:player:1395555,Albin Svensson
"Ayer, Keanin",sr:player:1561874,Keanin Ayer
"Teles, Vitali",sr:player:24885,Vitali Teles
"Kulinits, Aleksandr",sr:player:57810,Aleksandr Kulinits
"Reintam, Mikk",sr:player:50912,Mikk Reintam
"Avilov, Vladimir",sr:player:149469,Vladimir Avilov
"Ugge, Maximiliano",sr:player:131536,Maximiliano Achille Ugge
"Tjapkin, Deniss",sr:player:145883,Deniss Tjapkin
Reginald,sr:player:536298,Reginald Mbu Alidor
"Zasavitchi, Eugen",sr:player:139168,Eugen Zasavitchi
"Masitsev, Nikolai",sr:player:54228,Nikolai Masitsev
Liliu,sr:player:110448,Ellinton Antonio Costa Morais
"Subbotin, Igor",sr:player:50118,Igor Subbotin
"Demidov, Jevgeni",sr:player:1112865,Jevgeni Demidov
"Kirss, Robert",sr:player:110244,Robert Kirss
"Sobtsenko, Roman",sr:player:138173,Roman Sobtsenko
"Ivanjusin, Aleksandr",sr:player:255699,Aleksandr Ivanjusin
"Volkov, Aleksandr",sr:player:145744,Aleksandr Volkov
"Klein, Peeter",sr:player:356120,Peeter Klein
"Tamm, Alex Matthias",sr:player:1381993,Alex Matthias Tamm
"Markovych, Andriy",sr:player:576332,Andriy Markovych
"Andersson, Andreas",sr:player:70063,Andreas Andersson
"Puri, Sander",sr:player:24842,Sander Puri
"Ismail, Dillan",sr:player:37275,Dillan Ismail
"Kurim, Kristjan",sr:player:1054699,Kristjan Kurim
"Tranberg, Robin",sr:player:94621,Robin Tranberg
"Paur, Kaspar",sr:player:167007,Kaspar Paur
"Lawan, Rawez",sr:player:7825,Rawez Lawan
"Perk, Henri",sr:player:811782,Henri Perk
"Berger, Emil",sr:player:31441,Emil Berger
"Londak, Pavel",sr:player:21729,Pavel Londak
"Alexandersson, Simon",sr:player:979341,Karl Simon Alexandersson
"Liblikmann, Frank Kenneth",sr:player:1416647,Frank Kenneth Liblikmann
"Awad, Ahmed",sr:player:322103,Ahmed Awad Mohammad
"Nunez, Hector",sr:player:859838,Hector Nunez Segovia
"Ceesay, Joseph",sr:player:996515,Joseph Ceesay
"McVey, Christopher",sr:player:914072,Christopher McVey
"Ekblad, Alexander",sr:player:362506,Alexander Ekblad
"Thorbjornsson, Markus",sr:player:7541,Markus Thorbjornsson
"Brekkan, Julius",sr:player:1605678,Julius Brekkan
"Azizi, Peshraw",sr:player:50416,Peshraw Azizi
"Sabovic, Besard",sr:player:887874,Besard Sabovic
